Merkmalsname,Datentyp BMS,Revit Internal Name,Parameter Type (UnitType),DisplayUnitType,Family-/Shared-Parameter,Type-/Instance-Parameter,Parameter-Section (Revit),GuidDe
Wirkleistung,Bool,INVALID,ElectricalPower,BSU_WATTS,Shared,Instance,BS_ELECTRICAL_CIRCUITING,da6a3bbc-a600-40fa-970a-08fb75f19111
E_Spannung,Integer,INVALID,ElectricalPotential,BSU_VOLTS,Shared,Type,BS_ELECTRICAL_CIRCUITING,921a7dc4-d764-4b67-90cb-46dc008d6f93
Phasen_Anzahl,Bool,INVALID,NumberOfPoles,NO_UNIT,Shared,Type,BS_ELECTRICAL_CIRCUITING,1d908d49-e7cd-4e98-a72a-1ec6a7d3594e
Scheinleistung,Bool,INVALID,ElectricalApparentPower,BSU_VOLT_AMPERES,Shared,Instance,BS_ELECTRICAL_CIRCUITING,6f874434-de90-4722-8bdd-73bcf20a8117
Leistungsfaktor,Bool,INVALID,Number,BSU_GENERAL,Shared,Instance,BS_ELECTRICAL_CIRCUITING,ed7f8dce-5294-4d47-963b-315e4c22657d
Lastklassifizierung,String,INVALID,LoadClassification,NO_UNIT,Shared,Type,BS_ELECTRICAL_CIRCUITING,ccf46e60-73fb-4568-93c7-f48a011bc16e
A,Decimal,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_ANALYSIS_RESULTS,
DN,Integer,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_ANALYSIS_RESULTS,
Symbol_Breite,Decimal,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_ANALYSIS_RESULTS,
Typ Vordefinierter IFC-Typ,String,IFC_EXPORT_PREDEFINEDTYPE_TYPE,Text,NO_UNIT,Family,Type,BS_IFC,
Typ in IFC exportieren als,String,IFC_EXPORT_ELEMENT_TYPE_AS,Text,NO_UNIT,Family,Type,BS_IFC,
Vorgabe-Ansicht,Bool,FAMILY_FREEINST_DEFAULT_ELEVATION,Length,BSU_MILLIMETERS,Family,Type,BS_CONSTRAINTS,
R_Druckverlust,Bool,INVALID,PipingPressure,BSU_PASCALS,Shared,Instance,BS_MECHANICAL,c2e2a153-9669-4f71-85e2-42efd3a7317d
R_Volumenstrom,Bool,INVALID,PipingFlow,BSU_CUBIC_METERS_PER_HOUR,Shared,Instance,BS_MECHANICAL,3c8f6eba-efaf-42a0-b743-d891c44dc090
Gehäuse_Oberfläche,String,INVALID,Material,NO_UNIT,Family,Instance,BS_MATERIALS,
Breite,Integer,INVALID,Length,BSU_MILLIMETERS,Shared,Instance,BS_GEOMETRY,f1380248-b21a-4a7f-8b48-5e996701644b
Durchmesser,Integer,INVALID,Length,BSU_MILLIMETERS,Shared,Instance,BS_GEOMETRY,dd7e134f-e7cb-4e92-bc8e-0c3aefa01f23
Höhe_Benutzer,Bool,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_GEOMETRY,
Höhe,Integer,INVALID,Length,BSU_MILLIMETERS,Shared,Instance,BS_GEOMETRY,a7738561-8450-4ba3-8df1-1d4113d4faf6
Breite_Benutzer,Bool,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_GEOMETRY,
Länge,Decimal,INVALID,Length,BSU_MILLIMETERS,Shared,Instance,BS_GEOMETRY,c44ce259-a60f-4d96-b00f-94242e29a5f2
Länge_Benutzer,Bool,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_GEOMETRY,
Alarmleitung_Abstand_Oben_Benutzer,Bool,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_GEOMETRY,
F0,Decimal,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_GEOMETRY,
Alarmleitung_Abstand_Seitlich_Benutzer,Bool,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_GEOMETRY,
C,Integer,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_GEOMETRY,
Manometer_Abstand_Seitlich_Benutzer,Bool,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_GEOMETRY,
D0,Decimal,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_GEOMETRY,
Anschlussstutzen_Länge,Integer,INVALID,Length,BSU_MILLIMETERS,Family,Instance,BS_GEOMETRY,
Abkürzung,String,INVALID,Text,NO_UNIT,Shared,Type,BS_IDENTITY_DATA,fd8abad9-396c-4641-9b11-e4144bd26ce1
BIMPedia,String,INVALID,URL,NO_UNIT,Family,Type,BS_IDENTITY_DATA,
DIN_276,String,INVALID,Text,NO_UNIT,Shared,Type,BS_IDENTITY_DATA,0c0dc952-fee9-445a-8bb1-2a1812250cc3
PD_Copyright,String,INVALID,Text,NO_UNIT,Family,Type,BS_IDENTITY_DATA,
PD_URL,String,INVALID,URL,NO_UNIT,Family,Type,BS_IDENTITY_DATA,
Anonymous_Gruppe,String,INVALID,Text,NO_UNIT,Shared,Type,BS_IDENTITY_DATA,8a7b2751-6676-4816-b7b0-cd07abbb7813
SCRNCODE,String,INVALID,Text,NO_UNIT,Shared,Type,BS_IDENTITY_DATA,ae016126-4564-406b-a9d7-e31026663448
SCRNSEQ,String,INVALID,Text,NO_UNIT,Shared,Type,BS_IDENTITY_DATA,c6920c4c-40de-47b3-9607-4de217e8c28d
SCTWCODE,String,INVALID,Text,NO_UNIT,Shared,Type,BS_IDENTITY_DATA,4f4dd23a-1543-4685-8f1a-8b0fcf197cd4
Typenbild,Integer,ALL_MODEL_TYPE_IMAGE,Image,NO_UNIT,Family,Type,BS_IDENTITY_DATA,
